ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
189322585,KALIWUNGU,2,13,0
189322587,KALIWUNGU,2,17,0
189322598,KALIWUNGU,2,18,0
189322599,KALIWUNGU,2,19,0
189322602,KALIWUNGU,2,18,0
189322607,KALIWUNGU,2,19,0
189322620,KALIWUNGU,2,18,0
189322629,KALIWUNGU,2,20,0
189322635,KALIWUNGU,2,15,0
189322641,KALIWUNGU,2,12,0
189322648,KALIWUNGU,2,19,0
189322656,KALIWUNGU,2,14,0
189322660,KALIWUNGU,2,18,0
189322670,KALIWUNGU,2,14,1
189322672,KALIWUNGU,2,19,1
189322674,KALIWUNGU,2,14,0
189322690,KALIWUNGU,2,12,1
189322699,KALIWUNGU,2,15,0
189322702,KALIWUNGU,2,13,0
189322733,KALIWUNGU,2,18,0
189322734,KALIWUNGU,2,15,0
189322736,KALIWUNGU,2,16,0
189322750,KALIWUNGU,2,18,0
189322753,KALIWUNGU,2,14,0
189322771,KALIWUNGU,2,14,1
189322774,KALIWUNGU,2,20,0
189322786,KALIWUNGU,2,13,1
189322788,KALIWUNGU,2,11,0
189322790,KALIWUNGU,2,16,0
189322795,KALIWUNGU,2,17,0
189322827,KALIWUNGU,2,12,0
189322828,KALIWUNGU,2,16,0
189322833,KALIWUNGU,2,18,0
189322859,KALIWUNGU,2,17,0
189322867,KALIWUNGU,2,18,0
189322881,KALIWUNGU,2,14,0
189322884,KALIWUNGU,2,18,0
189322885,KALIWUNGU,2,17,0
107165661,KALIWUNGU,3,30,1
107390285,KALIWUNGU,3,22,0
116346161,KALIWUNGU,3,21,0
129870031,KALIWUNGU,3,27,0
135985664,KALIWUNGU,3,23,0
137174170,KALIWUNGU,3,21,0
189321172,KALIWUNGU,3,22,0
189321183,KALIWUNGU,3,27,1
189321190,KALIWUNGU,3,30,1
189321197,KALIWUNGU,3,23,0
189321203,KALIWUNGU,3,28,0
189321206,KALIWUNGU,3,22,1
189321227,KALIWUNGU,3,21,0
189321244,KALIWUNGU,3,21,0
189321246,KALIWUNGU,3,27,0
189321248,KALIWUNGU,3,23,1
189321250,KALIWUNGU,3,29,0
189321257,KALIWUNGU,3,26,0
189321258,KALIWUNGU,3,27,0
189321266,KALIWUNGU,3,23,0
189321269,KALIWUNGU,3,21,0
189321275,KALIWUNGU,3,27,0
189321283,KALIWUNGU,3,27,0
189321287,KALIWUNGU,3,21,1
189321297,KALIWUNGU,3,27,0
189321299,KALIWUNGU,3,21,1
189321312,KALIWUNGU,3,28,1
189321320,KALIWUNGU,3,27,0
189321322,KALIWUNGU,3,22,0
189321324,KALIWUNGU,3,28,0
189321327,KALIWUNGU,3,27,0
189321328,KALIWUNGU,3,21,0
189321329,KALIWUNGU,3,29,0
189321340,KALIWUNGU,3,22,0
189321341,KALIWUNGU,3,27,0
189321342,KALIWUNGU,3,25,0
189321346,KALIWUNGU,3,21,0
189321358,KALIWUNGU,3,22,0
189321359,KALIWUNGU,3,30,0
189321368,KALIWUNGU,3,28,0
189321370,KALIWUNGU,3,21,0
189321371,KALIWUNGU,3,27,0
189321374,KALIWUNGU,3,26,0
189321384,KALIWUNGU,3,25,0
189321401,KALIWUNGU,3,24,0
189321412,KALIWUNGU,3,23,1
189321416,KALIWUNGU,3,28,0
189321435,KALIWUNGU,3,27,0
189321448,KALIWUNGU,3,22,0
189321450,KALIWUNGU,3,23,1
189321452,KALIWUNGU,3,28,0
189321463,KALIWUNGU,3,29,0
189321465,KALIWUNGU,3,25,0
189321476,KALIWUNGU,3,29,0
189321479,KALIWUNGU,3,29,0
189321482,KALIWUNGU,3,29,0
189321486,KALIWUNGU,3,22,1
189321490,KALIWUNGU,3,27,0
189321491,KALIWUNGU,3,26,0
189321492,KALIWUNGU,3,21,0
189321499,KALIWUNGU,3,29,0
189321504,KALIWUNGU,3,28,0
189321507,KALIWUNGU,3,21,1
189321525,KALIWUNGU,3,21,0
189321529,KALIWUNGU,3,21,1
189321544,KALIWUNGU,3,24,0
189321547,KALIWUNGU,3,30,0
189321554,KALIWUNGU,3,29,0
189321563,KALIWUNGU,3,27,0
189321564,KALIWUNGU,3,30,0
189321572,KALIWUNGU,3,26,0
189321581,KALIWUNGU,3,28,1
189321582,KALIWUNGU,3,21,1
189321595,KALIWUNGU,3,24,0
189321598,KALIWUNGU,3,21,0
189321603,KALIWUNGU,3,27,0
189321606,KALIWUNGU,3,27,0
189321609,KALIWUNGU,3,24,0
189321612,KALIWUNGU,3,21,0
189321616,KALIWUNGU,3,25,0
189321623,KALIWUNGU,3,30,0
189321629,KALIWUNGU,3,28,0
189321633,KALIWUNGU,3,26,0
189321637,KALIWUNGU,3,28,1
189321659,KALIWUNGU,3,21,0
189321665,KALIWUNGU,3,26,0
189321673,KALIWUNGU,3,21,0
189321676,KALIWUNGU,3,29,0
189321677,KALIWUNGU,3,23,0
189321680,KALIWUNGU,3,21,0
189321692,KALIWUNGU,3,28,1
189321696,KALIWUNGU,3,27,0
189321714,KALIWUNGU,3,30,0
189321716,KALIWUNGU,3,24,0
189321718,KALIWUNGU,3,27,0
189321724,KALIWUNGU,3,29,0
189321727,KALIWUNGU,3,24,0
189321728,KALIWUNGU,3,24,0
189321732,KALIWUNGU,3,22,0
189321738,KALIWUNGU,3,26,0
189321742,KALIWUNGU,3,21,0
189321749,KALIWUNGU,3,29,0
189321752,KALIWUNGU,3,23,0
189321761,KALIWUNGU,3,30,0
189321764,KALIWUNGU,3,28,0
189321772,KALIWUNGU,3,26,0
189321773,KALIWUNGU,3,29,0
189321778,KALIWUNGU,3,24,0
189321780,KALIWUNGU,3,23,0
189321803,KALIWUNGU,3,27,1
189321827,KALIWUNGU,3,29,0
189321837,KALIWUNGU,3,23,0
189321844,KALIWUNGU,3,21,0
189321850,KALIWUNGU,3,30,0
189321857,KALIWUNGU,3,27,0
189321860,KALIWUNGU,3,23,0
189321882,KALIWUNGU,3,21,0
189321886,KALIWUNGU,3,29,0
189321890,KALIWUNGU,3,22,0
189321904,KALIWUNGU,3,22,0
189321906,KALIWUNGU,3,24,0
189321917,KALIWUNGU,3,22,0
189321925,KALIWUNGU,3,28,0
189321926,KALIWUNGU,3,24,0
189321937,KALIWUNGU,3,23,0
189321938,KALIWUNGU,3,27,0
189321945,KALIWUNGU,3,22,0
189321967,KALIWUNGU,3,27,0
189321984,KALIWUNGU,3,23,0
189321994,KALIWUNGU,3,21,1
189321995,KALIWUNGU,3,29,0
189321996,KALIWUNGU,3,30,0
189321997,KALIWUNGU,3,27,0
189322000,KALIWUNGU,3,29,0
189322007,KALIWUNGU,3,23,0
189322010,KALIWUNGU,3,24,0
189322015,KALIWUNGU,3,28,0
189322018,KALIWUNGU,3,28,1
189322022,KALIWUNGU,3,27,0
189322028,KALIWUNGU,3,22,1
189322047,KALIWUNGU,3,28,0
189322052,KALIWUNGU,3,28,0
189322060,KALIWUNGU,3,21,0
